username,University,Notes
alabama_cs, University of Alabama,
cs_uga,University of Georgia,
UKCompSci,University of Kentucky,
UMSLCmpSci,University of Missouri,
UofSC_CEC,University of South Carolina,
EECS_UTK,University of Tennessee,
Vanderbilt_CS,Vanderbilt University,
UArkEECS,University of Arkansas,
AuburnEngineers,Auburn University,enginnering  & cs
LSUCSE,Louisiana State University,
olemissengineer,University of Mississippi,engineering
CSEMSState,Mississippi State University,
TAMUECE,Texas A&M University,engineering