Name,PredominantDegree,HighestDegree,FundingModel,Region,Geography,AdmissionRate,ACTMedian,SATAverage,AverageCost,Expenditure,AverageFacultySalary,MedianDebt,AverageAgeofEntry,MedianFamilyIncome,MedianEarnings
Saint Mary's College of California,Bachelor's,Graduate,Private,Far West,Fringe Rural,0.6947,25,1115,56500,12462,9229,21500,22.0400009,65861,50300
Texas A & M University-College Station,Bachelor's,Graduate,Public,Southwest,Small City,0.6947,26,1182,20819,13297,10287,16566.5,20.1399994,71288,49000
Benedictine University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.695,22,1030,35481,5558,7686,17188,24.9500008,53068,43400
Buena Vista University,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.6955,23,1050,39011,7412,6736,17879,24.8799992,47120.5,36100
University of Northern Colorado,Bachelor's,Graduate,Public,Rocky Mountains,Small City,0.6957,22,1029,19105,7571,7487,14250,21.25,69484,36200
Elizabethtown College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6957,25,1117,47390,13704,8137,23872.5,21.25,90303,44400
Indiana University-Purdue University-Indianapolis,Bachelor's,Graduate,Public,Great Lakes,Large City,0.6958,22,1013,20846,15311,7713,16500,23.6900005,43017,37400
Warren Wilson College,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.696,25,1136,41000,10902,5066,14000,20.1000004,65481,20200
Erskine College,Bachelor's,Graduate,Private,Southeast,Distant Rural,0.6973,22,1010,45198,8075,5887,19444.5,19.3799992,66611,33000
Calvin College,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.6975,26,1183,39013,13845,7208,22500,19.6599999,93258,38100
Vanguard University of Southern California,Bachelor's,Graduate,Private,Far West,Mid-size City,0.6977,23,980,41952,6369,7714,19895,22.6299992,67855,33900
Alfred University,Bachelor's,Graduate,Private,Mid-Atlantic,Remote Town,0.698,25,1106,38830,10891,6408,21500,19.8799992,69334,35400
John Brown University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.6982,25,1144,33326,7040,6425,17900,25.4300003,53841.5,43100
Massachusetts College of Art and Design,Bachelor's,Graduate,Public,New England,Large City,0.6982,25,1081,25384,11176,9403,22500,21.4799995,60374,30200
Campbell University,Bachelor's,Graduate,Private,Southeast,Fringe Town,0.6983,22,1030,40323,8835,7536,17000,22.7800007,50771,41000
Regis University,Bachelor's,Graduate,Private,Rocky Mountains,Large City,0.6986,24,1087,43058,6188,6685,20501,29.9400005,53578.5,49100
Wagner College,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.6988,25,1154,49453,10939,7949,22875,19.8999996,94891,50800
Springfield College,Bachelor's,Graduate,Private,New England,Mid-size City,0.6992,23,1029,44829,10324,8240,20500,28.6399994,50430,39900
Concordia University-Wisconsin,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.6992,23,1049,36660,7156,8016,14250,26.8099995,56964,38700
Middle Tennessee State University,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.6996,22,1011,17501,7418,7029,15000,22.0799999,42980,33100
Xavier University,Bachelor's,Graduate,Private,Great Lakes,Large City,0.6997,25,1132,45080,10197,8089,24000,21.6200008,88138,43700
Indiana University-South Bend,Bachelor's,Graduate,Public,Great Lakes,Mid-size City,0.7003,21,962,17377,7174,5575,14000,24,42462,31300
Clearwater Christian College,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.7009,22,1026,28463,5545,4964,13000,20.2700005,49122,31100
Westmont College,Bachelor's,Graduate,Private,Far West,Mid-size Suburb,0.7016,27,1193,51760,14814,9329,19500,19.3799992,96799,39200
Carthage College,Bachelor's,Graduate,Private,Great Lakes,Mid-size Suburb,0.7018,24,1105,44910,9002,7638,20750,21.0799999,89579,40700
Dakota Wesleyan University,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.7023,23,1058,31596,5538,5452,18500,22.3799992,42134,33600
College of Charleston,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.7031,26,1165,25086,8234,7747,17000,20.5799999,71255,35800
Northwest Christian University,Bachelor's,Graduate,Private,Far West,Mid-size City,0.7044,21,974,34807,4480,5040,17587.5,27.1200008,49421,36100
Viterbo University,Bachelor's,Graduate,Private,Great Lakes,Small City,0.706,24,1090,32956,6562,6099,21500,24.4400005,57043.5,37300
Judson University,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.7069,23,1045,37635,8737,6071,18245.5,26.3999996,67400.5,36300
University of Nebraska at Omaha,Bachelor's,Graduate,Public,Great Plains,Large City,0.7078,23,1070,16860,7900,7860,13631,21.6700001,57671,38300
Champlain College,Bachelor's,Graduate,Private,New England,Small City,0.7079,25,1122,44636,8683,7305,21500,21.8999996,80415,37900
University of Louisville,Bachelor's,Graduate,Public,Southeast,Large City,0.7112,25,1142,21922,15806,9373,13300,22.1200008,45597.5,35800
Manchester University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.7116,22,1017,38505,5778,6924,19500,19.9099999,74409.5,35900
University of Mount Union,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.712,23,1050,37502,8974,6839,23557.5,19.7299995,74701.5,39100
West Liberty University,Bachelor's,Graduate,Public,Southeast,Fringe Rural,0.7122,21,984,18406,4959,6482,15000,21.3999996,48827.5,30800
University of the Cumberlands,Bachelor's,Graduate,Private,Southeast,Remote Town,0.7127,22,1019,30993,4050,5417,9500,21.0400009,48248,30100
Aquinas College,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.7135,24,1090,34593,6032,5972,19474,21.7199993,72085,31200
University of Illinois at Chicago,Bachelor's,Graduate,Public,Great Lakes,Large City,0.714,24,1092,25248,25773,9797,14750,21.0699997,41721,47000
Maranatha Baptist University,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.7146,23,1061,23879,4389,3814,12000,19.7399998,51539,27500
Concordia University-Nebraska,Bachelor's,Graduate,Private,Great Plains,Distant Town,0.7152,24,1091,33226,5404,6086,18225,20.0900002,68665,33700
Trine University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.7157,24,1095,40679,5574,7319,16950,23.3400002,59270,39200
Bethel College-Indiana,Bachelor's,Graduate,Private,Great Lakes,Small City,0.7158,24,1047,33617,7756,5506,18275,25.7399998,54043,33200
Defiance College,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.716,21,964,38824,6401,5811,16000,21.6599999,65722,35200
Endicott College,Bachelor's,Graduate,Private,New England,Large Suburb,0.7165,23,1070,44177,5860,8415,23250,19.8700008,109499.5,43800
Bryan College of Health Sciences,Bachelor's,Graduate,Private,Great Plains,Large City,0.7167,23,1070,26429,13430,5510,22000,26.2299995,49522,45600
Midwestern State University,Bachelor's,Graduate,Public,Southwest,Mid-size City,0.7178,21,993,15704,8018,7118,14950,22.7600002,42383.5,35600
Malone University,Bachelor's,Graduate,Private,Great Lakes,Small City,0.7179,23,1046,35213,6567,6277,19549,24.7099991,63498,36600
Elmhurst College,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.718,24,1084,41472,8096,7596,18791.5,22.2199993,67472.5,42700
School of the Art Institute of Chicago,Bachelor's,Graduate,Private,Great Lakes,Large City,0.7184,23,1065,55551,14724,9208,19503,22.3799992,42495.5,28800
Millersville University of Pennsylvania,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.7186,22,1014,21756,7862,9485,18500,20.6299992,73644,39400
Rider University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7187,22,1038,48163,12584,10318,22125,20.8099995,81460,43800
Dominican College of Blauvelt,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7189,21,899,35825,7242,7601,19000,22.8099995,50370,43700
Oklahoma City University,Bachelor's,Graduate,Private,Southwest,Large City,0.7198,26,1163,41431,12581,7055,19749,24.0100002,52723,37000
University of Wisconsin-La Crosse,Bachelor's,Graduate,Public,Great Lakes,Small City,0.72,25,1130,17896,6370,6650,18428.5,20.1399994,81510.5,40400
St Mary's College of Maryland,Bachelor's,Graduate,Public,Mid-Atlantic,Small Suburb,0.7204,28,1221,29174,13542,6981,19130,19.6700001,103581.5,42900
Keystone College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7205,19,901,31012,5705,6328,16836,22.2299995,45833,28500
Fitchburg State University,Bachelor's,Graduate,Public,New England,Mid-size Suburb,0.7211,20,987,17686,7938,8371,15529.5,21.2700005,70609.5,38700
University of Massachusetts-Dartmouth,Bachelor's,Graduate,Public,New England,Mid-size Suburb,0.7213,23,1061,23763,10528,10405,19500,20.6900005,69531.5,41100
Seattle Pacific University,Bachelor's,Graduate,Private,Far West,Large City,0.7214,26,1145,45125,10210,8258,20981.5,20.1700001,81735,40500
Indiana University-Bloomington,Bachelor's,Graduate,Public,Great Lakes,Small City,0.7217,27,1198,23043,13471,9431,19500,20.2600002,80326,42000
Purdue University-North Central Campus,Bachelor's,Graduate,Public,Great Lakes,Fringe Rural,0.7218,20,954,13713,4976,6971,12285.5,23.6900005,47378,32800
Truman State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.7219,28,1243,19689,8626,7038,17500,19.6499996,80910,38000
MidAmerica Nazarene University,Bachelor's,Graduate,Private,Great Plains,Large Suburb,0.7223,20,950,32388,5381,6156,15000,24.5,60929,39200
Tusculum College,Bachelor's,Graduate,Private,Southeast,Distant Town,0.7225,21,961,32783,3596,4906,20070,27.25,41744.5,34900
Indiana Institute of Technology,Bachelor's,Graduate,Private,Great Lakes,Large City,0.7225,20,934,35911,3479,6965,10250,29.1599999,43973.5,37600
Winthrop University,Bachelor's,Graduate,Public,Southeast,Small City,0.7225,22,1030,24595,8527,7223,19976,20.6800003,56621.5,33100
Mount Marty College,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.7239,23,1050,33103,7145,5217,20500,23.1200008,48944.5,32700
Northwest Missouri State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.7241,23,1050,17005,7623,6501,14815,20.3199997,62365.5,34400
Regis College,Bachelor's,Graduate,Private,New England,Large Suburb,0.7243,21,954,47432,7977,7055,24500,21.7099991,55309,41000
Thomas College,Bachelor's,Graduate,Private,New England,Fringe Rural,0.7244,19,895,33792,3782,6177,18059.5,20.2099991,55433,33200
Bowling Green State University-Main Campus,Bachelor's,Graduate,Public,Great Lakes,Fringe Town,0.7247,22,1009,22416,8529,7669,17500,20.8199997,70038,35500
The University of Tennessee-Knoxville,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.7249,27,1199,24746,20792,9976,15250,21.1200008,55229,39000
Canisius College,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7251,25,1101,42796,8788,7530,20000,19.7000008,78118,40800
Roberts Wesleyan College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.726,23,1046,38826,10436,6293,20432,25.1700001,57714,37600
Cleary University,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.7263,21,976,17823,4903,5403,20832,31,55340,47800
University of the Pacific,Bachelor's,Graduate,Private,Far West,Large City,0.7265,26,1172,52406,17606,10089,21250,22.0300007,40951,64000
The College of Saint Scholastica,Bachelor's,Graduate,Private,Great Plains,Small City,0.7265,24,1085,40685,7878,6904,19310.5,24.0599995,63879,46300
Molloy College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7267,23,1054,36702,12758,8716,25000,23.7900009,58419,53600
Biola University,Bachelor's,Graduate,Private,Far West,Large Suburb,0.7286,25,1123,44573,10435,8924,19688,22.2099991,71594,37600
Ohio University-Main Campus,Bachelor's,Graduate,Public,Great Lakes,Distant Town,0.7295,24,1104,23605,9768,8294,14457,21.9300003,62815,35800
College of Mount Saint Vincent,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.731,20,919,37738,8295,8049,25000,20.7700005,53055.5,46500
Northern Michigan University,Bachelor's,Graduate,Public,Great Lakes,Remote Town,0.7313,22,1030,18466,6506,7442,14601,21.3400002,57707,30800
Wheelock College,Bachelor's,Graduate,Private,New England,Large City,0.7318,22,996,45591,13033,6999,25859,21.3500004,65102,35300
Seattle University,Bachelor's,Graduate,Private,Far West,Large City,0.7323,27,1175,50610,15139,9051,24000,21.6100006,59408,49500
University of Cincinnati-Main Campus,Bachelor's,Graduate,Public,Great Lakes,Large City,0.7325,25,1141,25799,10476,9079,15000,23,50863,36200
Westminster College,Bachelor's,Graduate,Private,Mid-Atlantic,Fringe Town,0.7336,23,1040,42474,8865,6470,26000,19.5900002,75532,37300
Tabor College,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.735,23,1017,35960,5268,4248,15000,22.75,59463,35300
York College Pennsylvania,Bachelor's,Graduate,Private,Mid-Atlantic,Mid-size Suburb,0.7351,23,1045,27266,8057,8887,20500,20.6000004,86883.5,43600
Indiana University-Kokomo,Bachelor's,Graduate,Public,Great Lakes,Small City,0.7355,21,950,15874,5515,5680,12050,25.4099999,42220,33900
East Texas Baptist University,Bachelor's,Graduate,Private,Southwest,Distant Town,0.7362,20,957,30172,7590,6153,11411,20.8299999,52871,37500
Hastings College,Bachelor's,Graduate,Private,Great Plains,Distant Town,0.7364,24,1083,35673,7894,6292,20500,19.8400002,72062,38500
University of North Dakota,Bachelor's,Graduate,Public,Great Plains,Small City,0.737,24,1090,20538,16008,8361,16728,20.9899998,72841.5,42600
Otterbein University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.7374,24,1087,41646,9507,7287,22000,21.1200008,75737,37100
Point Park University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7393,22,997,36726,8943,7853,22250,23.8600006,46028,32700
Cedarville University,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.7401,27,1195,33652,9988,6831,19500,19.6299992,83099,36000
Coastal Carolina University,Bachelor's,Graduate,Public,Southeast,Small City,0.7404,21,993,21601,7879,7130,14750,20.5599995,67086.5,32500
Embry-Riddle Aeronautical University-Daytona Beach,Bachelor's,Graduate,Private,Southeast,Small City,0.7405,24,1105,45648,16386,8505,16500,23.2299995,52839,53800
New York Institute of Technology,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7407,22,1039,39014,15085,11418,17250,26.0799999,40609.5,46800
Duquesne University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7409,25,1122,42280,10729,8863,25500,20.9599991,81511,51600
Union University,Bachelor's,Graduate,Private,Southeast,Small City,0.7412,26,1174,40415,9119,7369,20750,24.0100002,53200.5,37700
University of Oregon,Bachelor's,Graduate,Public,Far West,Mid-size City,0.7417,25,1108,22390,11641,8828,18309,21.7299995,54318,38000
Louisiana College,Bachelor's,Graduate,Private,Southeast,Small Suburb,0.7423,21,968,22940,7234,5513,11750,20.9699993,49554.5,37800
Cabrini College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7428,20,896,43541,7095,7005,14875,20.4400005,91613,38600
Ashland University,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.7438,23,1043,40835,7945,6922,21500,23.0599995,63187.5,36300
University of New Haven,Bachelor's,Graduate,Private,New England,Large Suburb,0.7441,23,1034,48280,8635,9407,20500,20.6399994,78636,44000
California Maritime Academy,Bachelor's,Graduate,Public,Far West,Mid-size City,0.748,24,1080,22223,13827,8259,21500,21.6000004,60317.5,74300
Life Pacific College,Bachelor's,Graduate,Private,Far West,Large Suburb,0.7482,20,930,24492,3393,6394,13000,23.3999996,45853,24900
Saint Mary's University of Minnesota,Bachelor's,Graduate,Private,Great Plains,Distant Town,0.7485,23,1068,38470,5196,6585,18054,22.9400005,75332,39300
Westfield State University,Bachelor's,Graduate,Public,New England,Large Suburb,0.7487,20,995,19468,7042,8356,16250,20.4300003,78180,39300
School of Visual Arts,Bachelor's,Graduate,Private For-Profit,Mid-Atlantic,Large City,0.7489,23,1020,48993,11276,4887,23500,21.0799999,51909,35000
College of Our Lady of the Elms,Bachelor's,Graduate,Private,New England,Large Suburb,0.7492,19,928,40802,6539,6340,22160.5,23.6900005,71106.5,41300
LIM College,Bachelor's,Graduate,Private For-Profit,Mid-Atlantic,Large City,0.7502,20,907,41111,4491,6582,20000,20.0200005,69085,42300
University of Scranton,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.7503,25,1121,51962,10141,9400,26442,20.0699997,93993,50800
Texas State University,Bachelor's,Graduate,Public,Southwest,Small Suburb,0.7508,23,1045,19721,6379,7528,15750,21.9500008,48876,40700
Saint Michael's College,Bachelor's,Graduate,Private,New England,Mid-size Suburb,0.7511,26,1173,48894,10627,8319,25000,19.4200001,96675.5,41600
William Woods University,Bachelor's,Graduate,Private,Great Plains,Distant Town,0.7514,23,1047,33016,6016,5301,15985,24.2199993,58119,32500
Saint Johns University,Bachelor's,Graduate,Private,Great Plains,Fringe Rural,0.7516,26,1155,46397,12673,7899,23150,19.5499992,99495,51100
Westminster College,Bachelor's,Graduate,Private,Rocky Mountains,Mid-size City,0.7517,25,1134,37990,10682,8393,17958,23.4099999,50415,41700
Waynesburg University,Bachelor's,Graduate,Private,Mid-Atlantic,Distant Town,0.7523,23,1015,28822,8294,6633,23000,23.3500004,64789,39300
George Fox University,Bachelor's,Graduate,Private,Far West,Fringe Town,0.7528,23,1070,41836,8922,6742,18750,22.75,66182,38300
Mercyhurst University,Bachelor's,Graduate,Private,Mid-Atlantic,Mid-size City,0.7536,24,1064,42367,11645,5387,16000,22.2900009,66871,36100
Saint Joseph's College-New York,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7538,23,1054,25290,7860,8720,19500,23.8700008,66404,47800
The University of the Arts,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7539,22,1010,52401,12248,6980,25394,19.8899994,81397,26600
Southern Connecticut State University,Bachelor's,Graduate,Public,New England,Mid-size City,0.7542,20,921,18628,10676,8318,17404,21.1499996,62972.5,38400
Dordt College,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.7542,25,1119,37080,8671,5959,19500,19.6700001,74121,35600
Rockhurst University,Bachelor's,Graduate,Private,Great Plains,Large City,0.7543,26,1164,40582,7167,6863,14684,22.0200005,73905.5,43400
University of Wisconsin-Parkside,Bachelor's,Graduate,Public,Great Lakes,Mid-size Suburb,0.7547,21,990,15218,6228,6277,14054,22.0300007,51714.5,33600
Marian University,Bachelor's,Graduate,Private,Great Lakes,Small City,0.7561,20,950,33656,6075,6545,21500,24.5100002,61347,37500
DeSales University,Bachelor's,Graduate,Private,Mid-Atlantic,Fringe Rural,0.758,24,1069,45331,8232,6520,19500,22.8099995,77146,43600
Holy Family University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7585,19,933,31949,8855,6991,22498.5,23.8500004,58483.5,46800
McDaniel College,Bachelor's,Graduate,Private,Mid-Atlantic,Small Suburb,0.7587,24,1105,45866,8839,7035,22000,19.7800007,89429,42000
Ferris State University,Bachelor's,Graduate,Public,Great Lakes,Remote Town,0.759,22,1010,21498,8696,7942,17562,21.8700008,59172,38400
Aurora University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.7595,22,1011,31145,4697,7064,15000,22.2000008,61464,36600
Muskingum University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.7596,21,983,33630,8196,7269,18751,20.75,70305,34100
Oklahoma State University-Main Campus,Bachelor's,Graduate,Public,Southwest,Distant Town,0.7602,25,1138,21338,8346,8254,14750.5,21.3999996,52462,39800
Capital University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.7604,24,1102,42600,9026,8743,21500,22.4500008,64146.5,39800
Saint Francis University,Bachelor's,Graduate,Private,Mid-Atlantic,Fringe Town,0.7606,23,1026,42492,7042,7194,26123,20.5200005,72643.5,43900
Franciscan University of Steubenville,Bachelor's,Graduate,Private,Great Lakes,Small City,0.7607,26,1163,32761,7014,7306,20500,20.5400009,82655.5,33100
Maryville University of Saint Louis,Bachelor's,Graduate,Private,Great Plains,Large Suburb,0.7611,25,1142,37968,6897,7411,19909,23.8600006,65418,43200
Lasell College,Bachelor's,Graduate,Private,New England,Small City,0.7614,21,974,43854,6324,7409,23000,19.4799995,77869,34600
Louisiana State University and Agricultural & Mechanical College,Bachelor's,Graduate,Public,Southeast,Fringe Rural,0.7623,26,1162,20422,9914,9190,13000,20.5499992,52648,42800
Harding University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.7628,25,1139,25475,9503,7082,19801.5,20.5900002,76594,35500
University of Wisconsin-Eau Claire,Bachelor's,Graduate,Public,Great Lakes,Small City,0.7646,24,1110,18066,6718,6886,17823.5,20.4099999,78332,39900
Bryant University,Bachelor's,Graduate,Private,New England,Large Suburb,0.7655,25,1137,50858,8913,12905,26706,19.5200005,104089,57800
Edgewood College,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.7656,23,1050,35645,7703,5576,20568,22.5,63152,40300
Michigan Technological University,Bachelor's,Graduate,Public,Great Lakes,Remote Town,0.7659,27,1206,24724,11415,9142,21812,19.9200001,76868.5,57400
Creighton University,Bachelor's,Graduate,Private,Great Plains,Large City,0.7665,27,1214,46248,13789,9081,21500,20.8099995,80669.5,51200
The University of Tennessee-Martin,Bachelor's,Graduate,Public,Southeast,Remote Town,0.7668,23,1050,16227,7336,6882,15134.5,21.9699993,41497,32000
University of Denver,Bachelor's,Graduate,Private,Rocky Mountains,Large City,0.7673,28,1231,53614,14113,8914,20832,22.8700008,55997.5,47600
Pacific Lutheran University,Bachelor's,Graduate,Private,Far West,Large Suburb,0.7676,25,1112,45299,11672,7369,22695,21.5300007,67839.5,42600
Old Dominion University,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.7679,21,1016,20531,8097,8729,18000,23.1200008,48850,39200
Pace University-New York,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7683,23,1043,50625,10191,11627,19500,21.4899998,50322,51000
Queens University of Charlotte,Bachelor's,Graduate,Private,Southeast,Large City,0.7686,24,1058,40930,9180,4064,18812.5,25.3700008,45248.5,38100
Nebraska Wesleyan University,Bachelor's,Graduate,Private,Great Plains,Large City,0.7689,24,1109,36429,6896,6285,19500,20.8799992,74606,40800
University of Arizona,Bachelor's,Graduate,Public,Southwest,Large City,0.7692,24,1106,23905,11382,10320,13500,21.5200005,46758,40000
